Food Item,Serving Size (g),Calories (kcal),Dietary preference,Allergens,Glycemic Index,Protein (g),Carbs (g),Fats (g),Meal Type
Macadamia,372,375,Vegetarian,Nuts,17,8.48,78.04,40.94,Dinner
Rice,174,315,Vegetarian,Dairy,21,11.94,45.45,48.78,Snack
Peas,206,616,Vegetarian,None,88,16.94,28.17,30.15,Snack
Butter,200,147,Vegetarian,Shellfish,10,18.93,73.93,29.08,Breakfast
Radishes,181,217,Vegetarian,Dairy,17,45.04,15.2,38.93,Lunch
Cucumber,430,259,Vegetarian,None,80,25.05,24.51,7.29,Lunch
Corn,364,384,Vegetarian,Shellfish,63,44.65,21.8,1.18,Lunch
Cream,198,440,Vegetarian,None,24,16.23,31.14,3.1,Lunch
Carrot,372,318,Vegetarian,Gluten,38,41.24,45.79,28.6,Lunch
Apricots,364,224,Vegetarian,Dairy,55,3.45,0.56,16.33,Breakfast
Cauliflower,183,144,Vegetarian,Dairy,47,44.65,37.96,12.84,Snack
Cheese,449,288,Vegetarian,Dairy,95,28.47,32.79,12.69,Breakfast
Butter,340,318,Vegetarian,Gluten,97,26.74,45.45,28.6,Lunch
Butter,449,616,Vegetarian,Nuts,71,32.61,15.2,20.59,Lunch
Walnuts,447,619,Vegetarian,Shellfish,53,11.2,45.45,29.08,Lunch
Kiwi,263,175,Vegetarian,None,82,34.25,93.7,15.34,Snack
Grapes,229,301,Vegetarian,Shellfish,54,46.26,99.09,12.26,Snack
Hazelnuts,427,399,Vegetarian,Nuts,88,29.46,78.04,16.68,Lunch
Tofu,463,346,Vegetarian,Gluten,59,35.65,8.9,48.05,Snack
Leeks,76,606,Vegetarian,Gluten,44,31.73,92.11,35.88,Breakfast
Yogurt,499,384,Vegetarian,Shellfish,63,35.3,61.67,11.66,Dinner
Garlic,430,144,Vegetarian,Nuts,88,33.13,26.0,13.39,Dinner
Leeks,263,396,Vegetarian,None,21,2.68,87.67,0.42,Lunch
Macadamia,406,533,Vegetarian,Dairy,43,30.68,45.45,19.06,Breakfast
Coconut Milk,124,612,Vegetarian,None,92,45.04,37.89,29.3,Breakfast
Cucumber,449,224,Vegetarian,Dairy,95,21.52,48.79,16.33,Lunch
Mutton,94,384,Non-Vegetarian,Shellfish,72,7.86,75.85,27.36,Dinner
Oat,403,637,Vegetarian,Gluten,29,27.45,47.67,11.36,Dinner
Rice,76,371,Vegetarian,Gluten,32,25.05,21.8,29.3,Dinner
Chickpeas,213,662,Vegetarian,Gluten,58,32.89,61.17,14.52,Lunch
Leeks,449,384,Vegetarian,Nuts,96,39.32,31.14,0.42,Lunch
Turkey,138,637,Non-Vegetarian,Gluten,32,32.06,70.43,23.51,Breakfast
Cherries,192,622,Vegetarian,Nuts,54,3.99,22.28,42.88,Dinner
Pistachios,463,472,Vegetarian,Gluten,15,11.94,67.69,14.36,Dinner
Beetroot,70,147,Vegetarian,Gluten,63,34.87,45.53,29.08,Lunch
Salmon,192,217,Non-Vegetarian,Nuts,43,12.89,77.52,31.39,Snack
Kale,94,168,Vegetarian,Gluten,77,45.45,37.89,47.05,Dinner
Zucchini,372,399,Vegetarian,Dairy,32,6.23,56.73,11.66,Dinner
Peas,340,664,Vegetarian,Gluten,37,46.53,78.53,11.66,Snack
Cherries,294,422,Vegetarian,None,66,26.11,56.39,37.72,Lunch
Blackberries,419,325,Vegetarian,Gluten,94,11.2,37.5,23.31,Dinner
Rice,351,616,Vegetarian,Shellfish,57,10.84,47.33,10.61,Breakfast
Cashews,380,474,Vegetarian,Gluten,21,25.33,15.47,38.38,Breakfast
Quinoa,229,227,Vegetarian,Nuts,29,1.6,94.85,23.98,Breakfast
Oranges,342,440,Vegetarian,None,27,42.95,64.62,40.94,Breakfast
Blueberries,174,169,Vegetarian,Dairy,36,33.13,87.26,10.61,Snack
Kale,92,227,Vegetarian,Gluten,55,10.26,73.3,19.06,Lunch
Nuts,162,664,Vegetarian,Shellfish,53,34.87,37.89,26.44,Breakfast
Cream,312,230,Vegetarian,Nuts,59,34.25,44.23,42.88,Snack
Leeks,364,156,Vegetarian,Shellfish,93,46.53,44.23,23.12,Breakfast
Yogurt,285,217,Vegetarian,Dairy,38,3.29,73.3,35.88,Snack
Almond Milk,229,371,Vegetarian,Nuts,30,12.51,53.8,12.48,Snack
Nectarines,269,514,Vegetarian,Dairy,59,41.67,44.23,46.9,Breakfast
Oat Milk,202,472,Vegetarian,Nuts,59,34.87,87.26,10.49,Dinner
Almonds,285,238,Vegetarian,Shellfish,80,29.46,61.15,35.88,Lunch
Almonds,66,284,Vegetarian,None,93,19.19,45.53,49.9,Dinner
Parsnips,70,54,Vegetarian,Shellfish,61,46.67,35.73,7.68,Snack
Oat,266,371,Vegetarian,Gluten,41,34.7,37.52,28.6,Snack
Potatoes,385,54,Vegetarian,Nuts,63,32.89,99.26,12.48,Breakfast
Cucumber,394,562,Vegetarian,Nuts,44,20.98,74.18,27.13,Breakfast
Egg,327,440,Non-Vegetarian,Nuts,59,16.94,50.43,0.42,Dinner
Wheat,200,612,Vegetarian,Nuts,98,25.33,77.52,38.38,Lunch
Quinoa,405,671,Vegetarian,Gluten,52,33.13,90.1,37.72,Snack
Chili Peppers,389,529,Vegetarian,Shellfish,95,33.13,41.39,27.13,Lunch
Onions,239,530,Vegetarian,None,88,19.11,48.79,35.88,Dinner
Plums,297,633,Vegetarian,None,10,41.24,34.29,17.93,Breakfast
Wheat,333,564,Vegetarian,Nuts,38,11.2,2.07,10.61,Snack
Zucchini,334,533,Vegetarian,Shellfish,21,41.54,69.92,17.93,Snack
Peaches,181,369,Vegetarian,Nuts,98,45.45,88.15,30.15,Dinner
Scallions,372,301,Vegetarian,Gluten,48,27.45,43.46,0.89,Dinner
Peanuts,245,606,Vegetarian,Gluten,18,30.55,54.96,45.32,Dinner
Wheat,385,416,Vegetarian,Dairy,41,11.62,22.12,23.98,Snack
Pineapple,147,516,Vegetarian,Nuts,11,20.98,64.65,40.03,Snack
Peas,200,619,Vegetarian,Shellfish,47,32.89,48.29,32.24,Dinner
Garlic,340,612,Vegetarian,Gluten,21,11.94,89.74,6.44,Snack
Spinach,449,416,Vegetarian,Shellfish,49,46.53,21.8,12.84,Lunch
Watermelon,340,474,Vegetarian,Nuts,82,16.71,73.18,7.68,Breakfast
Turkey,160,650,Non-Vegetarian,None,59,10.84,41.39,18.81,Snack
Squash,461,472,Vegetarian,Gluten,58,35.65,10.73,16.33,Dinner
Yams,206,396,Vegetarian,None,53,41.16,93.7,20.19,Snack
Strawberries,147,346,Vegetarian,Dairy,20,8.48,87.26,17.93,Snack
Kale,385,133,Vegetarian,Dairy,48,32.89,30.76,42.88,Dinner
Radishes,162,239,Vegetarian,Gluten,59,39.18,2.07,28.8,Dinner
Almond Milk,174,168,Vegetarian,Dairy,77,26.11,25.38,46.9,Lunch
Pistachios,231,117,Vegetarian,Nuts,63,41.54,67.69,46.22,Snack
Hazelnuts,174,92,Vegetarian,Shellfish,27,8.68,26.59,11.36,Dinner
Papaya,403,637,Vegetarian,None,99,45.45,89.42,20.59,Lunch
Grapes,133,440,Vegetarian,Nuts,55,35.08,78.53,35.88,Breakfast
Yams,87,213,Vegetarian,Dairy,97,46.67,24.51,26.02,Breakfast
Milk,59,533,Vegetarian,Gluten,77,15.91,77.52,23.91,Lunch
Pineapple,298,243,Vegetarian,Dairy,21,41.16,73.93,22.65,Lunch
Tomatoes,160,536,Vegetarian,None,11,19.11,87.67,19.8,Snack
Broccoli,76,325,Vegetarian,Gluten,61,29.46,73.93,42.88,Dinner
Bell Peppers,59,169,Vegetarian,Nuts,82,8.48,54.96,33.47,Lunch
Lentils,222,459,Vegetarian,Shellfish,15,41.16,44.23,32.24,Dinner
Strawberries,68,529,Vegetarian,Gluten,47,11.89,47.33,22.65,Breakfast
Chicken,281,670,Non-Vegetarian,Shellfish,64,48.14,93.7,10.49,Breakfast
Butter,380,416,Vegetarian,Dairy,38,44.63,61.17,3.1,Dinner
Leeks,318,315,Vegetarian,Dairy,66,26.11,35.38,35.73,Breakfast
Pork,142,227,Non-Vegetarian,Dairy,12,2.68,55.32,6.62,Dinner
Duck,236,399,Non-Vegetarian,None,86,32.61,61.15,10.15,Breakfast
Barley,183,606,Vegetarian,None,27,5.73,42.27,12.56,Dinner
Egg,138,650,Non-Vegetarian,Dairy,78,3.99,26.59,19.42,Lunch
Salmon,68,637,Non-Vegetarian,Gluten,64,15.91,37.96,25.01,Lunch
Honeydew,192,533,Vegetarian,Shellfish,23,5.73,10.73,15.34,Breakfast
Soy Milk,333,556,Vegetarian,Gluten,82,10.84,53.8,14.17,Dinner
Cherries,406,238,Vegetarian,Dairy,78,16.94,87.26,1.84,Snack
Parsnips,245,617,Vegetarian,None,43,28.47,64.65,6.44,Lunch
Oat Milk,94,615,Vegetarian,None,59,41.64,45.53,23.91,Snack
Mutton,463,259,Non-Vegetarian,Dairy,21,1.06,28.17,25.01,Breakfast
Tomatoes,68,619,Vegetarian,Nuts,77,3.99,26.0,14.17,Breakfast
Almonds,124,575,Vegetarian,Shellfish,66,35.08,28.35,1.84,Lunch
Mushrooms,253,469,Vegetarian,Dairy,23,11.62,32.79,33.06,Snack
Shrimp,192,306,Non-Vegetarian,Nuts,58,48.14,35.73,30.15,Breakfast
Yams,327,445,Vegetarian,Dairy,72,8.68,21.8,1.18,Dinner
Almonds,342,619,Vegetarian,Dairy,64,27.65,74.31,49.9,Lunch
Butter,312,459,Vegetarian,None,27,21.08,87.26,40.03,Breakfast
Wheat,198,384,Vegetarian,None,58,41.67,88.15,38.81,Snack
Leeks,403,664,Vegetarian,Nuts,36,34.25,96.73,28.8,Lunch
Apricots,327,474,Vegetarian,Gluten,67,19.76,28.35,38.93,Breakfast
Milk,364,396,Vegetarian,Nuts,63,34.87,0.56,15.34,Breakfast
Barley,162,288,Vegetarian,Nuts,15,46.67,99.09,42.88,Lunch
Mango,94,96,Vegetarian,Dairy,72,37.8,99.26,42.88,Breakfast
Seitan,312,158,Vegetarian,Gluten,87,3.56,64.65,23.31,Lunch
Broccoli,447,556,Vegetarian,Dairy,59,16.94,2.07,35.88,Snack
Beetroot,294,243,Vegetarian,None,59,41.67,37.02,15.52,Lunch
Tuna,67,284,Non-Vegetarian,Shellfish,32,35.61,96.73,49.9,Snack
Onions,236,575,Vegetarian,Gluten,21,19.64,45.79,27.36,Snack
Quinoa,160,575,Vegetarian,Shellfish,10,34.7,47.33,37.72,Breakfast
Spinach,174,396,Vegetarian,Shellfish,27,8.68,45.45,42.7,Lunch
Cherries,283,318,Vegetarian,Nuts,52,19.19,33.94,15.85,Breakfast
Yogurt,162,284,Vegetarian,Shellfish,95,19.19,61.22,23.98,Snack
Almond Milk,198,514,Vegetarian,Dairy,44,12.51,22.28,23.31,Lunch
Almond Milk,406,288,Vegetarian,Nuts,95,10.26,47.67,38.86,Lunch
Cheese,327,536,Vegetarian,Dairy,66,35.3,32.79,35.88,Snack
Blueberries,499,92,Vegetarian,Shellfish,67,34.25,5.68,32.24,Breakfast
Zucchini,405,86,Vegetarian,Gluten,38,15.91,21.8,10.15,Dinner
Macadamia,264,156,Vegetarian,Nuts,47,39.32,55.32,16.68,Snack
Shallots,467,529,Vegetarian,Dairy,27,25.05,31.62,11.36,Snack
Radishes,453,318,Vegetarian,Nuts,29,16.23,65.18,48.05,Breakfast
Apricots,397,445,Vegetarian,Dairy,88,3.56,77.52,0.6,Snack
Zucchini,266,416,Vegetarian,Nuts,48,41.24,15.2,19.8,Snack
Oranges,275,529,Vegetarian,None,64,32.06,74.18,30.15,Dinner
Beef,230,156,Non-Vegetarian,None,95,25.03,31.14,28.42,Breakfast
Grapes,181,360,Vegetarian,Nuts,27,18.93,31.62,28.42,Snack
Bell Peppers,380,396,Vegetarian,None,55,2.1,94.85,30.15,Breakfast
Egg,403,626,Non-Vegetarian,Dairy,27,15.96,43.46,47.05,Lunch
Mutton,394,346,Non-Vegetarian,Gluten,36,19.83,87.26,23.91,Dinner
Barley,318,306,Vegetarian,Gluten,19,28.47,24.51,35.88,Lunch
Blueberries,372,622,Vegetarian,Gluten,44,32.89,92.11,33.47,Breakfast
Peanuts,132,472,Vegetarian,Gluten,43,40.52,42.27,33.82,Lunch
Lentils,236,361,Vegetarian,Dairy,21,19.11,89.42,38.9,Dinner
Grapes,334,239,Vegetarian,Shellfish,44,5.23,28.35,23.91,Lunch
Walnuts,133,472,Vegetarian,None,29,45.04,73.3,15.52,Dinner
Nectarines,266,529,Vegetarian,Gluten,90,34.58,2.07,35.88,Dinner
Onions,239,117,Vegetarian,Gluten,21,7.86,61.17,45.32,Breakfast
Turnips,403,564,Vegetarian,Shellfish,99,34.58,22.28,28.42,Lunch
Macadamia,318,516,Vegetarian,Shellfish,75,16.71,73.3,14.71,Lunch
Mushrooms,183,287,Vegetarian,None,52,28.89,24.51,17.28,Breakfast
Pork,183,422,Non-Vegetarian,None,17,12.51,37.96,29.08,Snack
Grapes,419,54,Vegetarian,None,26,37.93,33.94,38.86,Snack
Soy Milk,269,438,Vegetarian,Gluten,43,28.47,70.21,35.73,Breakfast
Soy Milk,138,175,Vegetarian,Shellfish,30,19.83,44.23,10.61,Snack
Tempeh,138,575,Vegetarian,Gluten,66,3.45,67.69,7.29,Dinner
Cauliflower,298,612,Vegetarian,Gluten,77,41.16,15.2,14.52,Snack
Quinoa,403,346,Vegetarian,None,88,7.86,92.11,46.9,Breakfast
Tempeh,463,514,Vegetarian,Shellfish,71,15.91,77.52,29.08,Dinner
Seitan,351,570,Vegetarian,None,59,19.19,54.96,12.69,Lunch
Nuts,427,284,Vegetarian,Gluten,94,35.61,73.93,35.88,Lunch
Peaches,334,369,Vegetarian,Dairy,63,47.53,15.47,40.03,Breakfast
Rice Milk,138,227,Vegetarian,Gluten,79,46.26,41.39,30.15,Dinner
Egg,318,422,Non-Vegetarian,Shellfish,15,33.96,79.59,15.34,Snack
Pecans,334,615,Vegetarian,Nuts,32,41.67,93.7,24.78,Snack
Nuts,239,692,Vegetarian,Dairy,41,46.67,73.12,10.49,Breakfast
Cucumber,275,474,Vegetarian,Gluten,55,9.36,93.48,26.44,Dinner
Plums,312,238,Vegetarian,Gluten,37,30.55,90.92,27.36,Dinner
Rice Milk,142,440,Vegetarian,None,24,25.03,5.68,48.78,Breakfast
Soy Milk,222,529,Vegetarian,None,41,16.23,48.79,28.6,Lunch
Pork,239,529,Non-Vegetarian,Dairy,29,6.23,10.73,1.4,Breakfast
Squash,174,325,Vegetarian,Dairy,82,19.64,67.69,46.22,Breakfast
Strawberries,239,96,Vegetarian,Nuts,21,44.47,28.35,0.89,Lunch
Kiwi,174,435,Vegetarian,Shellfish,52,3.51,47.33,23.31,Dinner
Duck,178,230,Non-Vegetarian,Nuts,47,3.29,74.31,40.03,Breakfast
Pork,427,626,Non-Vegetarian,Nuts,23,46.26,15.47,16.02,Dinner
Bell Peppers,372,529,Vegetarian,Gluten,38,16.23,74.31,38.97,Dinner
Leeks,342,158,Vegetarian,Nuts,53,26.74,93.7,38.86,Breakfast
Wheat,385,288,Vegetarian,Gluten,29,34.25,73.18,14.71,Breakfast
Cantaloupe,181,96,Vegetarian,Gluten,27,6.23,42.27,35.86,Dinner
Shallots,70,615,Vegetarian,Gluten,82,12.89,5.68,12.69,Dinner
Cantaloupe,178,133,Vegetarian,Shellfish,97,41.16,15.2,16.68,Breakfast
Plums,174,179,Vegetarian,None,58,28.89,96.08,24.78,Snack
Tofu,311,670,Vegetarian,Nuts,80,37.93,56.39,28.0,Dinner
Cashews,98,133,Vegetarian,Gluten,71,8.48,77.52,19.06,Lunch
Corn,142,584,Vegetarian,Gluten,59,21.52,31.14,38.86,Breakfast
Cream,68,325,Vegetarian,Dairy,21,32.79,96.08,28.0,Lunch
Macadamia,192,369,Vegetarian,Shellfish,22,32.79,10.73,12.56,Snack
Brazil Nuts,447,670,Vegetarian,Gluten,93,11.2,33.94,26.44,Dinner
Mutton,397,259,Non-Vegetarian,Dairy,17,3.45,70.43,23.91,Dinner
Seitan,333,440,Vegetarian,Dairy,36,34.58,48.29,17.93,Dinner
Almonds,372,556,Vegetarian,Nuts,59,7.86,78.88,1.76,Snack
Sweet Potatoes,94,284,Vegetarian,Shellfish,99,32.61,73.18,1.76,Lunch
Apples,342,325,Vegetarian,Nuts,44,42.95,70.43,7.68,Dinner
Beetroot,87,384,Vegetarian,Dairy,78,2.1,56.39,47.47,Snack
Oat Milk,364,179,Vegetarian,Nuts,67,28.89,33.94,16.11,Lunch
Lentils,451,396,Vegetarian,Nuts,26,48.14,89.74,16.02,Snack
Nectarines,342,117,Vegetarian,Nuts,64,34.7,99.09,26.02,Lunch
Mango,198,96,Vegetarian,Nuts,59,1.06,69.92,28.6,Lunch
Nuts,298,213,Vegetarian,None,59,27.45,89.74,28.8,Breakfast
Pineapple,162,570,Vegetarian,Nuts,15,38.21,87.68,38.9,Breakfast
Peaches,98,414,Vegetarian,Gluten,52,41.67,28.17,17.93,Lunch
Pistachios,499,306,Vegetarian,Gluten,36,37.8,97.12,27.36,Breakfast
Pumpkin,263,536,Vegetarian,Dairy,21,41.24,45.45,38.97,Dinner
Walnuts,213,179,Vegetarian,None,29,2.68,88.15,37.72,Lunch
Chicken,76,213,Non-Vegetarian,Nuts,21,48.14,47.33,27.13,Dinner
Cucumber,67,637,Vegetarian,Nuts,54,32.79,5.68,3.1,Lunch
Squash,499,474,Vegetarian,Shellfish,21,29.46,34.29,33.06,Snack
Almond Milk,239,224,Vegetarian,Shellfish,75,33.12,61.22,17.28,Lunch
Mushrooms,67,144,Vegetarian,Nuts,49,19.11,45.79,33.82,Dinner
Bananas,428,230,Vegetarian,Shellfish,97,15.91,46.24,12.48,Breakfast
Honeydew,275,361,Vegetarian,None,30,38.21,2.07,46.9,Snack
Cantaloupe,138,514,Vegetarian,None,69,7.86,28.35,1.84,Dinner
Broccoli,222,399,Vegetarian,Nuts,95,16.94,25.38,14.52,Dinner
Cantaloupe,281,234,Vegetarian,None,12,10.26,5.68,28.8,Snack
Bananas,467,692,Vegetarian,Nuts,23,33.96,76.46,28.42,Lunch
Turkey,298,469,Non-Vegetarian,Nuts,97,40.52,28.31,26.02,Breakfast
Bell Peppers,334,416,Vegetarian,Gluten,92,41.16,92.79,38.38,Lunch
Chili Peppers,207,384,Vegetarian,Nuts,54,11.94,37.52,16.02,Snack
Seitan,67,469,Vegetarian,Nuts,23,31.73,77.52,17.28,Dinner
Tofu,294,239,Vegetarian,Gluten,87,30.55,73.3,23.31,Snack
Cheese,397,626,Vegetarian,Dairy,72,11.62,28.35,32.24,Snack
Hazelnuts,462,384,Vegetarian,Nuts,37,48.14,74.18,27.13,Breakfast
Nuts,461,396,Vegetarian,Gluten,32,30.68,47.67,23.12,Breakfast
Butter,385,238,Vegetarian,Gluten,82,30.68,10.73,38.38,Lunch
Oranges,340,435,Vegetarian,Gluten,21,31.73,37.52,32.97,Lunch
Butter,266,259,Vegetarian,Shellfish,44,27.45,45.71,1.84,Breakfast
Squash,213,438,Vegetarian,Dairy,82,18.93,5.68,16.33,Breakfast
Tempeh,70,179,Vegetarian,None,79,32.61,37.89,38.21,Breakfast
Spinach,193,96,Vegetarian,Shellfish,52,32.06,31.62,29.08,Snack
Plums,340,619,Vegetarian,Dairy,29,25.03,96.73,12.69,Dinner
Kale,68,384,Vegetarian,Nuts,88,39.18,99.09,10.93,Snack
Cream,364,238,Vegetarian,Nuts,71,11.62,10.73,32.97,Dinner
Cashews,192,144,Vegetarian,Shellfish,64,39.18,87.67,26.02,Lunch
Shallots,66,536,Vegetarian,Gluten,23,2.68,22.28,19.06,Breakfast
Cauliflower,87,92,Vegetarian,Dairy,96,42.95,18.2,49.9,Lunch
Milk,174,396,Vegetarian,Gluten,17,33.12,28.31,12.36,Dinner
Milk,461,92,Vegetarian,Dairy,82,5.23,76.48,32.33,Lunch
Mutton,380,147,Non-Vegetarian,Shellfish,10,19.76,97.12,23.91,Breakfast
Seitan,231,474,Vegetarian,Nuts,61,20.98,94.85,20.59,Lunch
Papaya,174,514,Vegetarian,Nuts,29,16.71,61.67,10.93,Breakfast
Seitan,327,92,Vegetarian,Gluten,55,46.67,65.18,44.12,Breakfast
Cauliflower,453,575,Vegetarian,Nuts,82,11.62,45.45,1.84,Lunch
Garlic,71,175,Vegetarian,Gluten,12,12.51,41.39,12.36,Snack
Raspberries,449,158,Vegetarian,Gluten,44,3.45,20.3,1.4,Breakfast
Mutton,133,361,Non-Vegetarian,None,63,35.08,37.5,1.84,Breakfast
Papaya,385,288,Vegetarian,Gluten,27,46.53,61.15,23.12,Lunch
Cucumber,160,617,Vegetarian,Nuts,18,24.52,45.79,11.36,Lunch
Cantaloupe,160,430,Vegetarian,Gluten,27,34.7,45.71,40.94,Lunch
Seitan,294,315,Vegetarian,Shellfish,21,35.08,56.39,16.11,Snack
Strawberries,71,384,Vegetarian,Shellfish,38,26.11,37.02,10.15,Breakfast
Yogurt,372,133,Vegetarian,None,87,19.64,28.17,6.44,Dinner
Beans,285,54,Vegetarian,Gluten,86,25.15,34.29,16.11,Dinner
Squash,333,224,Vegetarian,Dairy,96,15.22,55.32,10.93,Breakfast
Blackberries,68,227,Vegetarian,Nuts,29,32.06,93.48,38.21,Breakfast
Bell Peppers,453,650,Vegetarian,Dairy,88,11.89,73.18,35.88,Breakfast
Tuna,467,520,Non-Vegetarian,None,98,19.83,18.2,6.44,Breakfast
Strawberries,462,472,Vegetarian,None,79,16.23,92.11,3.1,Dinner
Duck,133,239,Non-Vegetarian,Shellfish,23,25.05,78.53,28.6,Snack
Beef,193,671,Non-Vegetarian,Nuts,54,3.45,31.14,44.12,Dinner
Jalapenos,94,470,Vegetarian,Gluten,97,25.05,35.73,28.8,Dinner
Jalapenos,427,346,Vegetarian,Nuts,29,28.89,79.59,10.61,Lunch
Zucchini,419,144,Vegetarian,Nuts,87,43.4,47.33,26.44,Dinner
Peas,59,227,Vegetarian,Shellfish,93,3.51,92.79,19.06,Snack
Bell Peppers,453,217,Vegetarian,Shellfish,17,35.95,28.17,25.63,Snack
Radishes,263,532,Vegetarian,Nuts,38,46.67,99.09,14.52,Lunch
Potatoes,427,96,Vegetarian,Dairy,63,34.58,97.12,16.33,Snack
Turkey,230,284,Non-Vegetarian,Dairy,24,22.58,96.73,12.48,Dinner
Kiwi,385,622,Vegetarian,Nuts,82,32.61,90.1,40.03,Snack
Shallots,351,92,Vegetarian,Dairy,82,20.98,45.79,6.62,Dinner
Cantaloupe,340,117,Vegetarian,None,92,44.65,2.07,16.68,Snack
Tomatoes,312,227,Vegetarian,None,71,25.05,45.79,14.36,Breakfast
Raspberries,92,516,Vegetarian,Dairy,55,43.4,74.18,23.51,Breakfast
Spinach,380,384,Vegetarian,Shellfish,61,43.4,26.59,48.78,Dinner
Beetroot,453,472,Vegetarian,None,79,19.76,53.8,15.52,Breakfast
Papaya,178,617,Vegetarian,Gluten,44,46.26,61.22,35.73,Dinner
Rice Milk,467,637,Vegetarian,Shellfish,71,3.29,64.62,28.0,Dinner
Honeydew,213,234,Vegetarian,Dairy,64,37.93,87.68,38.93,Snack
Brazil Nuts,385,217,Vegetarian,Shellfish,55,35.08,8.77,11.36,Lunch
Oat Milk,442,616,Vegetarian,Nuts,63,41.24,5.68,35.88,Breakfast
Brazil Nuts,340,217,Vegetarian,Gluten,59,15.87,73.3,20.59,Lunch
Hazelnuts,453,529,Vegetarian,Shellfish,48,41.64,67.69,38.38,Dinner
Beetroot,463,375,Vegetarian,Dairy,64,9.38,92.79,33.82,Lunch
Rice Milk,427,677,Vegetarian,None,29,1.06,43.46,38.9,Breakfast
Milk,427,416,Vegetarian,None,27,2.1,90.1,7.29,Breakfast
Wheat,245,584,Vegetarian,Nuts,44,16.23,0.56,46.9,Snack
Quinoa,334,626,Vegetarian,Shellfish,59,5.73,90.1,19.8,Breakfast
Peas,68,117,Vegetarian,Nuts,98,16.23,55.32,35.88,Breakfast
Beetroot,98,346,Vegetarian,Shellfish,69,35.61,74.31,37.31,Lunch
Apricots,216,562,Vegetarian,Shellfish,78,46.26,37.5,16.68,Lunch
Macadamia,372,617,Vegetarian,Shellfish,23,26.74,48.79,12.36,Snack
Cucumber,174,371,Vegetarian,Shellfish,54,37.93,24.51,13.39,Lunch
Yams,174,284,Vegetarian,Dairy,30,45.04,87.26,38.86,Lunch
Radishes,380,470,Vegetarian,Shellfish,38,11.89,45.45,17.93,Lunch
Barley,451,76,Vegetarian,None,77,19.11,45.53,48.05,Snack
Egg,198,416,Non-Vegetarian,Shellfish,96,47.53,37.02,48.05,Snack
Lamb,198,217,Non-Vegetarian,Nuts,29,1.6,35.38,23.12,Snack
Turnips,334,516,Vegetarian,Dairy,50,11.94,80.47,23.31,Snack
Squash,264,440,Vegetarian,Gluten,11,16.71,8.9,15.85,Lunch
Quinoa,87,315,Vegetarian,Dairy,12,19.11,47.67,33.47,Snack
Macadamia,461,513,Vegetarian,Nuts,21,27.65,28.31,38.93,Lunch
Corn,449,637,Vegetarian,Shellfish,94,11.94,46.24,6.44,Lunch
Turnips,174,440,Vegetarian,Shellfish,59,22.55,61.67,40.94,Dinner
Milk,298,575,Vegetarian,Nuts,98,33.12,28.35,44.12,Snack
Cantaloupe,200,416,Vegetarian,Gluten,15,9.38,85.88,23.91,Breakfast
Egg,463,306,Non-Vegetarian,Gluten,22,46.53,92.11,0.42,Breakfast
Grapes,266,430,Vegetarian,Dairy,77,31.73,31.62,38.81,Breakfast
Parsnips,342,615,Vegetarian,Gluten,21,40.52,15.47,47.79,Lunch
Apples,87,582,Vegetarian,Dairy,59,37.93,93.48,16.68,Lunch
Squash,421,346,Vegetarian,Gluten,18,46.26,37.52,23.51,Lunch
Turkey,198,677,Non-Vegetarian,Gluten,44,11.62,28.31,48.78,Lunch
Rice,333,692,Vegetarian,None,59,38.21,48.29,16.11,Dinner
Rice Milk,397,92,Vegetarian,Shellfish,82,40.52,28.17,23.91,Lunch
Hazelnuts,385,224,Vegetarian,Dairy,59,44.47,22.12,47.79,Breakfast
Beef,181,288,Non-Vegetarian,Shellfish,55,32.06,64.62,33.47,Lunch
Wheat,340,92,Vegetarian,Nuts,59,12.89,45.71,38.38,Dinner
Peanuts,142,529,Vegetarian,Shellfish,69,16.94,61.22,14.71,Lunch
Egg,285,556,Non-Vegetarian,Gluten,94,15.87,79.59,42.7,Snack
Mango,428,617,Vegetarian,Nuts,49,41.24,77.52,18.81,Snack
Plums,467,384,Vegetarian,None,22,19.11,96.08,18.81,Lunch
Potatoes,192,168,Vegetarian,None,64,5.23,32.79,15.34,Snack
Coconut Milk,372,516,Vegetarian,Gluten,72,27.65,8.77,0.42,Dinner
Cucumber,202,288,Vegetarian,Nuts,27,32.79,55.33,27.36,Breakfast
Honeydew,183,168,Vegetarian,None,57,16.94,92.79,1.4,Dinner
Peaches,147,612,Vegetarian,Shellfish,21,2.68,61.17,12.69,Dinner
Corn,67,86,Vegetarian,Shellfish,80,30.55,22.12,14.52,Breakfast
Duck,124,361,Non-Vegetarian,Shellfish,93,34.25,89.42,20.59,Breakfast
Cream,297,169,Vegetarian,Gluten,82,37.8,88.15,45.32,Breakfast
Pork,245,86,Non-Vegetarian,None,44,35.95,48.29,29.08,Lunch
Tempeh,421,301,Vegetarian,Gluten,32,1.06,8.9,46.9,Snack
Lamb,405,533,Non-Vegetarian,None,59,28.47,74.31,23.51,Dinner
Kale,154,619,Vegetarian,Shellfish,48,28.47,96.73,20.19,Dinner
Grapes,312,606,Vegetarian,Nuts,24,28.89,44.23,38.21,Lunch
Zucchini,67,147,Vegetarian,Gluten,79,3.45,79.59,0.89,Breakfast
Papaya,372,474,Vegetarian,Shellfish,55,27.65,41.39,44.12,Breakfast
Radishes,174,616,Vegetarian,None,97,15.96,44.23,6.44,Dinner
